title;price;old_price;link;img
Men's Flash Challenger™ Windbreaker Jacket;$44.99;$65.00;https://www.columbia.com/p/mens-flash-challenger-windbreaker-jacket-1988731.html?dwvar_1988731_color=191;https://columbia.scene7.com/is/image/ColumbiaSportswear2/1988731_191_f?$x1_grid$&v=1642418206
Women's Columbia Hike™ Short Sleeve Crew Shirt;$19.99;$36.00;https://www.columbia.com/p/womens-columbia-hike-short-sleeve-crew-shirt-1991551.html?dwvar_1991551_color=010;https://columbia.scene7.com/is/image/ColumbiaSportswear2/1991551_010_f?$x1_grid$&v=1642418206
Men's Hatana™ Max OutDry™ Shoe;$90.00;$120.00;https://www.columbia.com/p/mens-hatana-max-outdry-shoe-1982281.html?dwvar_1982281_color=010;https://columbia.scene7.com/is/image/ColumbiaSportswear2/1982281_010_f?$x1_grid$&v=1642418206
Boys' PFG Terminal Tackle™ Fish Flag T-Shirt;$14.99;$22.00;https://www.columbia.com/p/boys-pfg-terminal-tackle-fish-flag-t-shirt-1987971.html?dwvar_1987971_color=449;https://columbia.scene7.com/is/image/ColumbiaSportswear2/1987971_449_f?$x1_grid$&v=1642418206
Men's Utilizer™ Printed Woven Short Sleeve Shirt;$39.99;$65.00;https://www.columbia.com/p/mens-utilizer-printed-woven-short-sleeve-shirt-1990821.html?dwvar_1990821_color=329;https://columbia.scene7.com/is/image/ColumbiaSportswear2/1990821_329_f?$x1_grid$&v=1642418206
Women's Bogata Bay™ Stretch Shorts;$34.99;$60.00;https://www.columbia.com/p/womens-bogata-bay-stretch-shorts-1961031.html?dwvar_1961031_color=567;https://columbia.scene7.com/is/image/ColumbiaSportswear2/1961031_567_f?$x1_grid$&v=1642418206
Women's Capsule Hatana™ Max OutDry™ Shoe;$97.50;$130.00;https://www.columbia.com/p/womens-capsule-hatana-max-outdry-shoe-1987461.html?dwvar_1987461_color=043;https://columbia.scene7.com/is/image/ColumbiaSportswear2/1987461_043_f?$x1_grid$&v=1642418206
Boys' Washed Out™ Shorts;$19.99;$30.00;https://www.columbia.com/p/boys-washed-out-shorts-1990261.html?dwvar_1990261_color=271;https://columbia.scene7.com/is/image/ColumbiaSportswear2/1990261_271_f?$x1_grid$&v=1642418206
Men's Hikebound™ Rain Jacket;$60.00;$80.00;https://www.columbia.com/p/mens-hikebound-rain-jacket-1988621.html?dwvar_1988621_color=327;https://columbia.scene7.com/is/image/ColumbiaSportswear2/1988621_327_f?$x1_grid$&v=1642418206
Women's On The Go™ Long Shorts;$44.99;$65.00;https://www.columbia.com/p/womens-on-the-go-long-shorts-1991861.html?dwvar_1991861_color=348;https://columbia.scene7.com/is/image/ColumbiaSportswear2/1991861_348_f?$x1_grid$&v=1642418206
Men's Escape™ Thrive Endure™ Shoe;$120.00;$160.00;https://www.columbia.com/p/mens-escape-thrive-endure-shoe-1979591.html?dwvar_1979591_color=089;https://columbia.scene7.com/is/image/ColumbiaSportswear2/1979591_089_f?$x1_grid$&v=1642418206
Girls' PFG Freezer™ Dress II;$26.25;$35.00;https://www.columbia.com/p/girls-pfg-freezer-dress-ii-1990451.html?dwvar_1990451_color=362;https://columbia.scene7.com/is/image/ColumbiaSportswear2/1990451_362_f?$x1_grid$&v=1642418206
Men's Alpine Chill™ Zero Short Sleeve Crew Shirt;$30.00;$40.00;https://www.columbia.com/p/mens-alpine-chill-zero-short-sleeve-crew-shirt-1990541.html?dwvar_1990541_color=400;https://columbia.scene7.com/is/image/ColumbiaSportswear2/1990541_400_f?$x1_grid$&v=1642418206
Women's Lillian Ridge™ Shell Jacket;$79.99;$110.00;https://www.columbia.com/p/womens-lillian-ridge-shell-jacket-1989291.html?dwvar_1989291_color=672;https://columbia.scene7.com/is/image/ColumbiaSportswear2/1989291_672_f?$x1_grid$&v=1642418206
Women's Escape™ Thrive Endure™ Shoe;$120.00;$160.00;https://www.columbia.com/p/womens-escape-thrive-endure-shoe-1979581.html?dwvar_1979581_color=010;https://columbia.scene7.com/is/image/ColumbiaSportswear2/1979581_010_f?$x1_grid$&v=1642418206
Girls' PFG Tidal Tee™ Polo Dress;$30.00;$40.00;https://www.columbia.com/p/girls-pfg-tidal-tee-polo-dress-1988021.html?dwvar_1988021_color=031;https://columbia.scene7.com/is/image/ColumbiaSportswear2/1988021_031_f?$x1_grid$&v=1642418206
Men's Palmerston Peak™ Sport Shorts;$39.99;$60.00;https://www.columbia.com/p/mens-palmerston-peak-sport-shorts-1990721.html?dwvar_1990721_color=327;https://columbia.scene7.com/is/image/ColumbiaSportswear2/1990721_327_f?$x1_grid$&v=1642418206
Women's PFG Slack Water™ Knit Skirt;$30.00;$40.00;https://www.columbia.com/p/womens-pfg-slack-water-knit-skirt-1990051.html?dwvar_1990051_color=010;https://columbia.scene7.com/is/image/ColumbiaSportswear2/1990051_010_f?$x1_grid$&v=1642418206
Men's PFG Bonehead™ Shoe;$56.25;$75.00;https://www.columbia.com/p/mens-pfg-bonehead-shoe-1987131.html?dwvar_1987131_color=010;https://columbia.scene7.com/is/image/ColumbiaSportswear2/1987131_010_f?$x1_grid$&v=1642418206
Infant Little Sur™ Playsuit;$24.99;$36.00;https://www.columbia.com/p/infant-little-sur-playsuit-1989872.html?dwvar_1989872_color=271;https://columbia.scene7.com/is/image/ColumbiaSportswear2/1989872_271_f?$x1_grid$&v=1642418206
