title;price;old_price;link;img
Bebe - Illusion Cutout Sparkle Gown. Color White.;$132.30;$189.00;https://www.6pm.com/p/bebe-illusion-cutout-sparkle-gown-white/product/9800151/color/14;https://m.media-amazon.com/images/I/51B9UuuwSvL._AC_SR255,340_.jpg
Tommy Jeans - Zip Polo Dress. Color Sky Captain.;$39.00;$65.00;https://www.6pm.com/p/tommy-jeans-zip-polo-dress-sky-captain/product/9796438/color/444168;https://m.media-amazon.com/images/I/71S-eFPY43L._AC_SR255,340_.jpg
Tommy Jeans - Zip Polo Dress. Color Scarlet.;$39.00;$65.00;https://www.6pm.com/p/tommy-jeans-zip-polo-dress-scarlet/product/9796438/color/4774;https://m.media-amazon.com/images/I/71FsnoQUz1L._AC_SR255,340_.jpg
Tommy Jeans - Zip Polo Dress. Color Mellow Yellow.;$39.00;$65.00;https://www.6pm.com/p/tommy-jeans-zip-polo-dress-mellow-yellow/product/9796438/color/134620;https://m.media-amazon.com/images/I/6157aNgImlL._AC_SR255,340_.jpg
"Tommy Jeans - High-Rise 3"" Denim Cutoff Shorts. Color Victoria Wash.";$35.40;$59.00;https://www.6pm.com/p/tommy-jeans-high-rise-3-denim-cutoff-shorts-victoria-wash/product/9796649/color/1017668;https://m.media-amazon.com/images/I/71GxqZMCsgL._AC_SR255,340_.jpg
Madewell - Gingham Puff Sleeve Button Front Crop Top. Color True Black.;$33.63;$69.50;https://www.6pm.com/p/madewell-gingham-puff-sleeve-button-front-crop-top-true-black/product/9810381/color/93164;https://m.media-amazon.com/images/I/810R8XH+MNL._AC_SR255,340_.jpg
Tommy Hilfiger - Pen Pal Floral Dress. Color Grenadine Multi.;$59.40;$99.00;https://www.6pm.com/p/tommy-hilfiger-pen-pal-floral-dress-grenadine-multi/product/9818912/color/214221;https://m.media-amazon.com/images/I/717uv41WLAL._AC_SR255,340_.jpg
Madewell - Amy Floral Textured Cotton Top. Color Frosted Willow. Low Stock.;$36.90;$82.00;https://www.6pm.com/p/madewell-amy-floral-textured-cotton-top-frosted-willow/product/9810382/color/974636;https://m.media-amazon.com/images/I/81kkerRnBAL._AC_SR255,340_.jpg
Tommy Hilfiger - Popover with Drawstring. Color Blue/White.;$41.70;$69.50;https://www.6pm.com/p/tommy-hilfiger-popover-with-drawstring-blue-white/product/9691656/color/1418;https://m.media-amazon.com/images/I/71y1f1l7HxL._AC_SR255,340_.jpg
Tommy Hilfiger - Stripe Camp Shirt. Color Snapdragon.;$32.70;$54.50;https://www.6pm.com/p/tommy-hilfiger-stripe-camp-shirt-snapdragon/product/9691646/color/58311;https://m.media-amazon.com/images/I/71lJ1jJGzdL._AC_SR255,340_.jpg
Tommy Hilfiger - Stripe Camp Shirt. Color Blue Sky.;$32.70;$54.50;https://www.6pm.com/p/tommy-hilfiger-stripe-camp-shirt-blue-sky/product/9691646/color/14492;https://m.media-amazon.com/images/I/71O6dt6lFRL._AC_SR255,340_.jpg
Tommy Hilfiger - Off-the-Shoulder Floral Ruffle Top. Color Sky Captain Multi.;$41.70;$69.50;https://www.6pm.com/p/tommy-hilfiger-off-the-shoulder-floral-ruffle-top-sky-captain-multi/product/9691643/color/808971;https://m.media-amazon.com/images/I/81-sJm6z8AL._AC_SR255,340_.jpg
Tommy Hilfiger - Rugby Stripe Short Sleeve Polo. Color Cool Combo.;$17.33;$49.50;https://www.6pm.com/p/tommy-hilfiger-rugby-stripe-short-sleeve-polo-cool-combo/product/9691619/color/673141;https://m.media-amazon.com/images/I/71pMVz4PRSL._AC_SR255,340_.jpg
