title;price;old_price;link;img
FLOWY HIGH-WAISTED PANTS;69.90 USD;;https://www.zara.com/us/en/flowy-high-waisted-pants-p02927587.html;https://static.zara.net/photos///2022/I/0/1/p/2927/587/513/2/w/563/2927587513_1_1_1.jpg?ts=1654011566142
LAPELLESS VEST;69.90 USD;;https://www.zara.com/us/en/lapelless-vest-p07625732.html;https://static.zara.net/photos///2022/I/0/1/p/7625/732/309/2/w/563/7625732309_1_1_1.jpg?ts=1654011550833
HIGH RISE SHORTS;39.90 USD;;https://www.zara.com/us/en/high-rise-shorts-p04365201.html;https://static.zara.net/photos///2022/I/0/1/p/4806/201/811/2/w/563/4806201811_1_1_1.jpg?ts=1654010532434
DRAPED SATIN EFFECT DRESS;49.90 USD;;https://www.zara.com/us/en/draped-satin-effect-dress-p00881334.html;https://static.zara.net/photos///2022/I/0/1/p/0881/334/942/2/w/563/0881334942_1_1_1.jpg?ts=1654010530250
FULL LENGTH SATIN EFFECT PANTS;45.90 USD;;https://www.zara.com/us/en/full-length-satin-effect-pants-p03067501.html;https://static.zara.net/photos///2022/I/0/1/p/3067/501/741/2/w/563/3067501741_1_1_1.jpg?ts=1654010530942
RUCHED SATIN EFFECT BLAZER;89.90 USD;;https://www.zara.com/us/en/ruched-satin-effect-blazer-p02010876.html;https://static.zara.net/photos///2022/I/0/1/p/2010/876/741/2/w/563/2010876741_1_1_1.jpg?ts=1654084972538
STRAIGHT CARGO PANTS;45.90 USD;;https://www.zara.com/us/en/straight-cargo-pants-p06929030.html;https://static.zara.net/photos///2022/V/0/1/p/6929/030/707/17/w/563/6929030707_1_1_1.jpg?ts=1654012055523
SHIMMERY CROP TOP;59.90 USD;;https://www.zara.com/us/en/shimmery-crop-top-p07657948.html;https://static.zara.net/photos///2022/I/0/1/p/7657/948/303/2/w/563/7657948303_1_1_1.jpg?ts=1654010532432
RUCHED SATIN EFFECT CARGO PANTS;59.90 USD;;https://www.zara.com/us/en/ruched-satin-effect-cargo-pants-p03067489.html;https://static.zara.net/photos///2022/I/0/1/p/3067/489/251/2/w/563/3067489251_1_1_1.jpg?ts=1654010561885
VOLUMINOUS POPLIN TOP;45.90 USD;;https://www.zara.com/us/en/voluminous-poplin-top-p03558340.html;https://static.zara.net/photos///2022/I/0/1/p/3558/340/250/2/w/563/3558340250_1_1_1.jpg?ts=1654075642686
BEJEWELLED DRESS;49.90 USD;;https://www.zara.com/us/en/bejewelled-dress-p07582707.html;https://static.zara.net/photos///2022/I/0/1/p/7582/707/250/17/w/563/7582707250_1_1_1.jpg?ts=1654011879109
SATIN SKORT;39.90 USD;;https://www.zara.com/us/en/satin-skort-p04001406.html;https://static.zara.net/photos///2022/I/0/1/p/4001/406/251/2/w/563/4001406251_1_1_1.jpg?ts=1654011742397
BOW EMBELLISHED FLAT SLINGBACKS;149.00 USD;;https://www.zara.com/us/en/bow-embellished-flat-slingbacks-p12572910.html;https://static.zara.net/photos///2022/V/1/1/p/2572/910/040/2/w/563/2572910040_1_1_1.jpg?ts=1651057206709
EMBELLISHED BOW MID-HEIGHT HEEL SHOES;149.00 USD;;https://www.zara.com/us/en/embellished-bow-mid-height-heel-shoes-p12244910.html;https://static.zara.net/photos///2022/V/1/1/p/2244/910/050/2/w/563/2244910050_1_1_1.jpg?ts=1651057206676
FLORAL JACQUARD DRESS LIMITED EDITION;69.90 USD;;https://www.zara.com/us/en/floral-jacquard-dress-limited-edition-p09598109.html;https://static.zara.net/photos///2022/I/0/1/p/9598/109/330/2/w/563/9598109330_1_1_1.jpg?ts=1654074321195
