title;price;old_price;link;img
KNIT JOGGER PANTS;22.99 USD;45.90 USD;https://www.zara.com/us/en/knit-jogger-pants-p05536306.html;https://static.zara.net/photos///2022/V/0/2/p/5536/416/501/2/w/2048/5536416501_1_1_1.jpg?ts=1642598636257
BOMBER JACKET;45.99 USD;89.90 USD;https://www.zara.com/us/en/bomber-jacket-p05070473.html;https://static.zara.net/photos///2021/I/0/2/p/5070/473/704/2/w/2048/5070473704_1_1_1.jpg?ts=1628838597397
TECHNICAL JACKET;45.99 USD;69.90 USD;https://www.zara.com/us/en/technical-jacket-p03918404.html;https://static.zara.net/photos///2022/V/0/2/p/3918/404/800/2/w/2048/3918404800_1_1_1.jpg?ts=1642415301642
SET SWEATER;22.99 USD;45.90 USD;https://www.zara.com/us/en/set-sweater-p05536408.html;https://static.zara.net/photos///2022/V/0/2/p/5536/408/704/2/w/2048/5536408704_1_1_1.jpg?ts=1642598655303
CONTRAST JOGGER PANTS;27.99 USD;49.90 USD;https://www.zara.com/us/en/contrast-jogger-pants-p02888420.html;https://static.zara.net/photos///2022/V/0/2/p/2888/422/837/2/w/2048/2888422837_1_1_1.jpg?ts=1641307025423
BRUSHED COTTON BOMBER JACKET;45.99 USD;89.90 USD;https://www.zara.com/us/en/brushed-cotton-bomber-jacket-p09632410.html;https://static.zara.net/photos///2022/V/0/2/p/9632/410/401/2/w/2048/9632410401_1_1_1.jpg?ts=1642585516552
TEXTURED DRESS SHOES;49.99 USD;89.90 USD;https://www.zara.com/us/en/textured-dress-shoes-p12418921.html;https://static.zara.net/photos///2022/V/1/2/p/2418/921/040/2/w/2048/2418921040_6_1_1.jpg?ts=1646916995450
THICK SOLED CHELSEA BOOTS;59.99 USD;89.90 USD;https://www.zara.com/us/en/thick-soled-chelsea-boots-p12001920.html;https://static.zara.net/photos///2022/V/1/1/p/2001/920/040/2/w/2048/2001920040_2_1_1.jpg?ts=1643023879053
TEXTURED SWEATER;27.99 USD;49.90 USD;https://www.zara.com/us/en/textured-sweater-p02281400.html;https://static.zara.net/photos///2022/V/0/1/p/2281/400/305/33/w/2048/2281400305_1_1_1.jpg?ts=1643653913976
COMBINATION FLANNEL OVERSHIRT;45.99 USD;89.90 USD;https://www.zara.com/us/en/combination-flannel-overshirt-p00397407.html;https://static.zara.net/photos///2022/V/0/2/p/0397/407/064/2/w/2048/0397407064_1_1_1.jpg?ts=1643185206798
